kind,profile,date,league,match,desc,odds,stake,result
bet,supertips,2025-08-10,,,SuperTriple,2,10,loss
bet,supertips,2025-08-10,,,SuperDouble,2,10,win
bet,supertips,2025-08-12,,,SuperDouble,2,10,win
bet,supertips,2025-08-12,,,SuperTriple,2,10,loss
bet,supertips,2025-08-12,,,SuperOdds,2.5,10,win
bet,supertips,2025-08-13,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-13,,,SuperTriple,2,10,loss
bet,supertips,2025-08-13,,,SuperDouble,2,10,win
bet,supertips,2025-08-13,,,SuperDouble,2,10,win
bet,supertips,2025-08-13,,,SuperTriple,2,10,loss
bet,supertips,2025-08-13,,,SuperOdds,2,10,loss
bet,supertips,2025-08-15,,,SuperOdds,2.5,10,win
bet,supertips,2025-08-15,,,SuperTriple,2,10,win
bet,supertips,2025-08-15,,,SuperDouble,2,10,win
bet,supertips,2025-08-15,,,SuperDouble,2,10,loss
bet,supertips,2025-08-15,,,SuperTriple,2,10,loss
bet,supertips,2025-08-15,,,SuperOdds,2.5,10,win
bet,supertips,2025-08-17,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-17,,,SuperTriple,2,10,win
bet,supertips,2025-08-17,,,SuperDouble,2,10,loss
bet,supertips,2025-08-18,,,SuperDouble,2,10,win
bet,supertips,2025-08-18,,,SuperTriple,2,10,loss
bet,supertips,2025-08-18,,,SuperOdds,2.5,10,win
bet,supertips,2025-08-19,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-19,,,SuperTriple,2,10,win
bet,supertips,2025-08-19,,,SuperDouble,2,10,loss
bet,supertips,2025-08-20,,,SuperDouble,2,10,loss
bet,supertips,2025-08-20,,,SuperTriple,2,10,loss
bet,supertips,2025-08-20,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-21,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-21,,,SuperTriple,2,10,win
bet,supertips,2025-08-21,,,SuperDouble,2,10,loss
bet,supertips,2025-08-22,,,SuperDouble,2,10,loss
bet,supertips,2025-08-22,,,SuperTriple,2,10,win
bet,supertips,2025-08-22,,,SuperOdds,2.5,10,win
bet,supertips,2025-08-23,,,SuperOdds,2.5,10,loss
bet,supertips,2025-08-23,,,SuperTriple,2,10,win
bet,supertips,2025-08-23,,,SuperDouble,2,10,win
settings,double,initial,0
settings,double,currency,$
bet,double,2025-08-20,,,Home/Home,2.104,5,win
bet,double,2025-08-22,,,Home/Away,2.09,5,loss
bet,double,2025-08-23,,,Over25/Over25,2.299,4.78,win
settings,xgscore,initial,0
settings,xgscore,currency,$
bet,xgscore,2025-08-23,England. Premier League,West Ham - Chelsea,Away Win,1.72,30,win
bet,xgscore,2025-08-23,England. Premier League,Man City vs Tottenham,Home Win,1.48,30,loss
bet,xgscore,2025-08-23,Japan. J1 League,Albirex N. vs Kashima,Over 2.5,2.2,30,win
bet,xgscore,2025-08-23,Japan. J1 League,Yokohama FM vs Machida Zelvia,Away Win,2.05,30,loss
bet,xgscore,2025-08-24,England. Premier League,Fulham vs Man United,Away Win,2.15,30,pending
bet,xgscore,2025-08-23,Germany. Bundesliga,Eintracht - Werder,Home Win,1.66,40,win
bet,xgscore,2025-08-23,Germany. Bundesliga,Freiburg vs Augsburg,Home Win,1.9,30,loss
bet,xgscore,2025-08-23,Germany. Bundesliga,Heidenheim vs Wolfsburg,Away Win,2.2,40,win
bet,xgscore,2025-08-23,France. Ligue 1,Marseille vs Paris,Home Win,1.38,30,win
bet,xgscore,2025-08-23,France. Ligue 1,Lyon vs Metz,Home Win,1.4,40,win
bet,xgscore,2025-08-23,France. Ligue 1,Le Havre vs Lens,Away Win,1.95,30,pending
bet,xgscore,2025-08-24,France. Ligue 1,Toulouse vs Brest,Over 2.5,1.9,30,pending
bet,xgscore,2025-08-24,France. Ligue 1,Strasbourg vs Nantes,BTTS,1.8,30,pending
bet,xgscore,2025-08-24,Italy. Serie A,Sassuolo vs Napoli,Under 2.5,1.85,30,win
bet,xgscore,2025-08-26,Italy. Serie A,Inter vs Torino,Home Win,1.42,30,pending
bet,xgscore,2025-08-24,Mexico. Liga MX,León - Pachuca,Away Win,2.15,30,loss
bet,xgscore,2025-08-24,Mexico. Liga MX,Monterrey - Necaxa,Home Win,1.55,30,pending
bet,xgscore,2025-08-24,USA. MLS,LA Galaxy - Colorado Rapids,Away Over 1.5,2.1,30,pending
bet,xgscore,2025-08-24,Norway. Eliteserien,Haugesund - Vålerenga,Away Win,1.53,30,pending
bet,xgscore,2025-08-24,Netherlands. Eredivisie,Utrecht - Excelsior,Home Win,1.42,30,pending
bet,xgscore,2025-08-24,Spain. La Liga,Osasuna - Valencia,Under 2.5,1.57,30,pending
bet,xgscore,2025-08-25,Spain. La Liga,Villarreal - Girona,Home Win,1.53,40,pending
bet,xgscore,2025-08-25,Brazil. Serie A,Bahia - Santos,Over 2.5,1.95,30,pending
bet,xgscore,2025-08-25,Brazil. Serie A,Fortaleza - Mirassol,Away Over 0.5,1.44,30,pending
bet,xgscore,2025-08-25,Portugal. Liga Portugal,Braga - AVS,Home Handicap (-1),1.5,40,pending
